main_category,sub_category,job_name,job_area,job_company,job_industry,job_finance,job_scale,job_welfare,salary_range,salary_type,job_experience,job_education,job_tag_list,search_keyword,create_time,,,,
产品,产品经理,内容产品经理（电商导购方向）,杭州·西湖区·西溪,视言,电子商务,未融资,100-499人,带薪年假，股票期权，法定节假日三薪，加班补助，五险一金，节日福利，底薪加提成，定期体检，团建聚餐，年终奖，餐补,20-30K,NULL,3-5年,本科,"C端产品,电商产品",saas,2025/1/20,,,,
产品,产品经理,内容营销产品经理,杭州·西湖区·西溪,有赞,互联网,已上市,1000-9999人,免费班车，节日福利，通讯补贴，员工旅游，年终奖，交通补助，带薪年假，股票期权，定期体检，零食下午茶，五险一金,16-30K,NULL,1-3年,本科,产品设计,saas,2025/1/20,,,,
产品,产品经理,准入经理,杭州,浙江仙居制药,其他行业,已上市,1000-9999人,节日福利，五险一金，定期体检，年终奖，交通补助，通讯补贴，住房补贴,20-25K,NULL,1-3年,本科,"市场准入,学术推广,出差",saas,2025/1/20,,,,
产品,产品经理,出海 SaaS 产品布道师,杭州·拱墅区·城西银泰城,描路,企业服务,天使轮,0-20人,五险一金，股票期权，带薪年假，保底工资,10-15K,NULL,1-3年,本科,"B端产品,AI产品",saas,2025/1/20,,,,
产品,产品经理,出海 SaaS 产品布道师,杭州·拱墅区·城西银泰城,描路,企业服务,天使轮,0-20人,带薪年假，股票期权，保底工资，五险一金,150-250元/天,NULL,3天/周,6个月,B端产品,saas,2025/1/20,,,,
产品,产品经理,创新产品经理,杭州·西湖区·文二路,超块,移动互联网,不需要融资,100-499人,零食下午茶，股票期权，带薪年假，定期体检，年终奖，全勤奖，员工旅游，节日福利，五险一金,20-40K,NULL,3-5年,本科,"C端产品,移动端产品,AI产品",saas,2025/1/20,,,,
产品,产品经理,创新计算高级产品专家,杭州·西湖区·西溪,阿里云,互联网,不需要融资,10000人以上,餐补，节日福利，免费班车，绩效奖金，带薪年假，年终奖，五险一金，定期体检,70-90K,16薪,5-10年,本科,"B端产品,商业产品,增长产品",saas,2025/1/20,,,,
产品,产品经理,功能产品经理（座舱方向）(J12133),杭州·滨江区·长河,零跑科技,智能硬件,已上市,10000人以上,补充医疗保险，餐补，加班补助，工资不打折，年终奖，定期体检，五险一金，员工旅游，额外年休假，带薪年假,15-25K,14薪,5-10年,本科,"不限,智能座舱,功能定义",saas,2025/1/20,,,,
产品,产品经理,功能性产品经理,杭州·滨江区·星耀城,视见睿来,互联网,A轮,20-99人,团建聚餐，餐补，零食下午茶，生日福利，股票期权，员工旅游，节日福利，年终奖，加班补助，免费工装，带薪年假，定期体检，补充医疗保险，五险一金,15-30K,15薪,1-3年,本科,"C端产品,用户/功能产品,AI产品,直播/视频产品,社交产品,,,,",saas,2025/1/20,,,,
产品,产品经理,助理产品经理,杭州·滨江区·浦沿,数里行间,企业服务,A轮,20-99人,带薪年假，生日福利，节日福利，定期体检，团建聚餐，通讯补贴，股票期权，零食下午茶，住房补贴，绩效奖金，员工旅游，年终奖，五险一金,6-10K,13薪,在校/应届,硕士,"B端产品,策略产品,AI产品,商业产品",saas,2025/1/20,,,,
